Temperature:24.00, StateofCharge:60.00 
Temperature:55.75, StateofCharge:28.00 
Temperature:48.50, StateofCharge:30.00 
Temperature:39.38, StateofCharge:34.00 
Temperature:40.25, StateofCharge:25.00 
Temperature:55.00, StateofCharge:15.00 
Temperature:65.00, StateofCharge:12.00 
Temperature:50.50, StateofCharge:4.00 
Temperature:48.50, StateofCharge:13.00 
Temperature:46.00, StateofCharge:19.00 
Temperature:39.45, StateofCharge:20.00 
Temperature:41.00, StateofCharge:10.00 
Temperature:41.20, StateofCharge:23.00 
Temperature:44.00, StateofCharge:23.00 
Temperature:40.75, StateofCharge:34.00 
Temperature:43.50, StateofCharge:15.00 
Temperature:42.25, StateofCharge:17.00 
Temperature:41.25, StateofCharge:26.00 
Temperature:42.00, StateofCharge:13.00 
Temperature:39.76, StateofCharge:14.00 
Temperature:38.50, StateofCharge:12.00 
Temperature:40.50, StateofCharge:13.00 
Temperature:37.90, StateofCharge:10.00 
Temperature:38.00, StateofCharge:9.00 
Temperature:37.50, StateofCharge:11.00 
Temperature:36.70, StateofCharge:12.00 
Temperature:34.80, StateofCharge:10.00 
Temperature:28.00, StateofCharge:8.00 
Temperature:26.25, StateofCharge:7.00 
Temperature:29.00, StateofCharge:10.00 
Temperature:32.00, StateofCharge:14.00 
Temperature:33.50, StateofCharge:17.00 
Temperature:33.60, StateofCharge:18.00 
Temperature:33.75, StateofCharge:20.00 
Temperature:39.45, StateofCharge:22.00 
Temperature:37.00, StateofCharge:23.00 
Temperature:38.00, StateofCharge:25.00 
Temperature:25.00, StateofCharge:23.00 
Temperature:41.00, StateofCharge:23.00 
Temperature:14.00, StateofCharge:11.50 
Temperature:35.75, StateofCharge:24.80 
Temperature:28.50, StateofCharge:28.50 
Temperature:30.25, StateofCharge:24.90 
Temperature:40.25, StateofCharge:23.20 
Temperature:25.00, StateofCharge:22.00 
Temperature:35.75, StateofCharge:26.50 
Temperature:28.50, StateofCharge:28.00 
Temperature:30.25, StateofCharge:29.00 
Temperature:40.25, StateofCharge:27.90 
Temperature:35.75, StateofCharge:28.00
